
Level: 2; diagrams count: 4
2   |1
1 1   |1
1  1   |1
1   1   |1

Level: 3; diagrams count: 10
3   |1
2 1   |2
2  1   |2
2   1   |2
1 1 1   |1
1 1  1   |2
1  1  1   |1
1  1   1   |2
1 1   1   |1
1   1   1   |1

Level: 4; diagrams count: 26
4   |1
3 1   |3
3  1   |3
3   1   |3
2 2   |2
2 1 1   |3
2 1  1   |6
2  2   |2
2  1  1   |3
2  1   1   |6
2 1   1   |3
2   2   |2
2   1   1   |3
1 1 1 1   |1
1 1 1  1   |3
1 1  1 1   |2
1 1  1  1   |3
1 1  1   1   |5
1  1  1  1   |1
1  1  1   1   |3
1  1   1  1   |2
1  1   1   1   |3
1 1 1   1   |1
1 1   1 1   |1
1 1   1   1   |2
1   1   1   1   |1

Level: 5; diagrams count: 59
5   |1
4 1   |4
4  1   |4
4   1   |4
3 2   |5
3 1 1   |6
3 1  1   |12
3  2   |5
3  1  1   |6
3  1   1   |12
3 1   1   |6
3   2   |5
3   1   1   |6
2 2 1   |5
2 2  1   |8
2 1 1 1   |4
2 1 1  1   |12
2 1  2   |8
2 1  1 1   |8
2 1  1  1   |12
2 1  1   1   |20
2  2  1   |5
2  2   1   |8
2  1  1  1   |4
2  1  1   1   |12
2  1   2   |8
2  1   1  1   |8
2  1   1   1   |12
2 2   1   |3
2 1 1   1   |4
2 1   2   |5
2 1   1 1   |4
2 1   1   1   |8
2   2   1   |5
2   1   1   1   |4
1 1 1 1 1   |1
1 1 1 1  1   |4
1 1 1  1 1   |5
1 1 1  1  1   |6
1 1 1  1   1   |9
1 1  1 1  1   |5
1 1  1  1  1   |4
1 1  1  1   1   |11
1 1  1 1   1   |5
1 1  1   1 1   |6
1 1  1   1  1   |7
1 1  1   1   1   |10
1  1  1  1  1   |1
1  1  1  1   1   |4
1  1  1   1  1   |5
1  1  1   1   1   |6
1  1   1  1   1   |5
1  1   1   1   1   |4
1 1 1 1   1   |1
1 1 1   1 1   |2
1 1 1   1   1   |3
1 1   1 1   1   |2
1 1   1   1   1   |3
1   1   1   1   1   |1

Level: 6; diagrams count: 140
6   |1
5 1   |5
5  1   |5
5   1   |5
4 2   |9
4 1 1   |10
4 1  1   |20
4  2   |9
